,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
2037,prevention of cerebrovascular accident,Pravastatin,On Label,RX,2.75,3.74,1.98
2038,prevention of cerebrovascular accident,Aspirin,On Label,RX/OTC,4.27,4.64,4.55
2042,prevention of cerebrovascular accident,Amlodipine-Atorvastatin,On Label,RX,3.56,4.25,3.38
2043,prevention of cerebrovascular accident,Evolocumab,On Label,RX,3.79,3.79,2.42
2044,prevention of cerebrovascular accident,Rosuvastatin,On Label,RX,3.2,4.25,2.9
2045,prevention of cerebrovascular accident,Telmisartan,On Label,RX,3.61,3.77,3.16
2046,prevention of cerebrovascular accident,Lovastatin,Off Label,RX,3.25,4.31,2.88
2047,prevention of cerebrovascular accident,Fluvastatin,Off Label,RX,3.71,4.36,3.21
2048,prevention of cerebrovascular accident,Fluvastatin,Off Label,RX,2.8,3.8,2.7
2049,prevention of cerebrovascular accident,Amlodipine-Atorvastatin,On Label,RX,4.0,4.0,3.75
2050,prevention of cerebrovascular accident,Aspirin,On Label,OTC,4.0,5.0,5.0
2051,prevention of cerebrovascular accident,Aspirin,On Label,OTC,2.0,3.0,1.0
2052,prevention of cerebrovascular accident,Aspirin,On Label,OTC,4.0,4.0,4.0
2053,prevention of cerebrovascular accident,Lovastatin,Off Label,RX,3.5,3.5,4.0
2054,prevention of cerebrovascular accident,Fluvastatin,Off Label,RX,4.5,5.0,3.5
2056,prevention of cerebrovascular accident,Aspirin,On Label,OTC,2.0,4.0,3.0
2057,prevention of cerebrovascular accident,Evolocumab,On Label,RX,4.5,4.5,4.0
2058,prevention of cerebrovascular accident,Evolocumab,On Label,RX,5.0,5.0,5.0
2059,prevention of cerebrovascular accident,Aspirin,On Label,OTC,1.0,1.0,1.0
2060,prevention of cerebrovascular accident,Aspirin,On Label,OTC,5.0,5.0,5.0
2061,prevention of cerebrovascular accident,Lovastatin,Off Label,RX,3.0,3.0,3.0
2066,pyelonephritis,Levofloxacin,On Label,RX,2.52,3.01,1.84
2068,pyelonephritis,Levofloxacin,On Label,RX,2.44,2.96,1.68
2070,pyelonephritis,Levofloxacin,On Label,RX,4.0,3.71,2.43
2071,pyelonephritis,Levofloxacin,On Label,RX,3.29,4.43,3.0
2072,pyelonephritis,Levofloxacin,On Label,RX,5.0,5.0,5.0
2073,pyelonephritis,Levofloxacin In D5W,On Label,RX,1.0,3.0,1.0
2074,pyelonephritis,Levofloxacin In D5W,On Label,RX,2.0,4.0,1.0
2075,scabies,Permethrin,On Label,RX/OTC,2.58,3.65,2.31
2077,scabies,Permethrin,On Label,RX,3.36,4.36,3.18
2078,scabies,Crotamiton,On Label,RX,4.0,4.33,3.5
2079,scabies,Lindane,On Label,RX,2.67,3.33,2.56
2080,scabies,Lindane,On Label,RX,3.0,4.0,3.0
2081,scabies,Permethrin,On Label,RX,1.5,5.0,1.5
2082,Sleepiness Due To Obstructive Sleep Apnea,Modafinil,On Label,RX,4.32,4.73,4.17
2083,Sleepiness Due To Obstructive Sleep Apnea,Armodafinil,On Label,RX,3.9,4.36,3.5
2084,Sleepiness Due To Obstructive Sleep Apnea,Modafinil,On Label,RX,3.97,4.56,3.72
2085,Sleepiness Due To Obstructive Sleep Apnea,Armodafinil,On Label,RX,4.0,4.0,3.75
2086,sore throat,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
2087,sore throat,Dextromethorphan-Benzocaine,On Label,OTC,5.0,5.0,4.5
2088,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,4.5
2089,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,5.0,1.0
2090,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,4.33,1.0
2091,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,2.0,1.0,1.0
2092,sore throat,Benzocaine,On Label,OTC,3.0,4.5,2.5
2094,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,1.0,1.0,1.0
2095,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
2096,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
2097,sore throat,Acetaminophen-DM,On Label,OTC,1.0,1.0,1.0
2098,sore throat,Acetaminophen-DM,On Label,OTC,5.0,5.0,5.0
2099,sore throat,Dextromethorphan-Benzocaine,On Label,OTC,3.0,3.0,3.0
2100,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,4.0,5.0,4.0
2103,sore throat,Chlorpheniram-DM-Acetaminophen,On Label,OTC,3.0,5.0,2.0
2104,sore throat,Dextromethorphan-Benzocaine,On Label,OTC,5.0,5.0,5.0
2105,sore throat,DM-Benzocaine-Menthol,On Label,OTC,1.0,1.0,1.0
2106,sore throat,Doxylamine-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
2107,sore throat,Acetaminophen-DM,On Label,OTC,2.0,5.0,3.0
2108,sore throat,Chlorpheniram-DM-Acetaminophen,On Label,OTC,5.0,5.0,5.0
2109,vertigo,Diphenhydramine Hcl,On Label,OTC,4.13,4.62,4.02
2110,vertigo,Diphenhydramine Hcl,On Label,RX/OTC,3.83,4.41,3.5
2111,vertigo,Diphenhydramine Hcl,On Label,OTC,3.23,4.28,2.8
2112,vertigo,Meclizine,On Label,RX,3.51,3.95,3.28
2113,vertigo,Diphenhydramine Hcl,On Label,OTC,4.33,4.67,4.0
2114,vertigo,Meclizine,On Label,RX,3.42,4.42,3.13
2115,vertigo,Meclizine,On Label,OTC,3.8,4.2,3.5
2116,vertigo,Dimenhydrinate,On Label,OTC,3.67,4.67,3.67
2117,vertigo,Diphenhydramine Citrate,On Label,OTC,4.3,4.6,4.1
2118,vertigo,Diphenhydramine Hcl,On Label,OTC,4.25,4.56,4.19
2119,vertigo,Diphenhydramine Hcl,On Label,OTC,4.73,4.82,4.64
2120,vertigo,Diphenhydramine Hcl,On Label,OTC,4.33,5.0,4.33
2121,vertigo,Diphenhydramine Hcl,On Label,OTC,4.11,4.44,3.89
2122,vertigo,Diphenhydramine Hcl,On Label,OTC,3.38,4.88,3.38
2124,vertigo,Meclizine,On Label,OTC,5.0,5.0,4.5
2125,vertigo,Diphenhydramine Hcl,On Label,OTC,3.17,4.33,3.17
2126,vertigo,"Diphenhydramine Hcl, Diphenhydramine Citrate",On Label,OTC,3.5,4.0,3.5
2127,vertigo,Dimenhydrinate,On Label,OTC,5.0,5.0,5.0
2128,vertigo,Meclizine,On Label,OTC,4.33,4.33,4.0
2129,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,5.0,5.0
2130,vertigo,Diphenhydramine Hcl,On Label,OTC,1.5,3.0,2.0
2131,vertigo,Diphenhydramine Hcl,On Label,OTC,4.67,5.0,4.67
2132,vertigo,Diphenhydramine Hcl,On Label,OTC,2.0,4.0,4.0
2133,vertigo,Dimenhydrinate,On Label,OTC,5.0,5.0,1.0
2134,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,3.5,4.0
2135,vertigo,Meclizine,On Label,RX/OTC,2.33,3.33,2.0
2136,vertigo,Meclizine,On Label,OTC,4.0,4.5,4.0
2137,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,5.0,5.0
2138,vertigo,Diphenhydramine Hcl,On Label,OTC,1.5,4.0,1.0
2139,vertigo,Diphenhydramine Hcl,On Label,OTC,2.0,5.0,1.0
2140,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,5.0,5.0
2141,vertigo,Diphenhydramine Hcl,On Label,OTC,4.5,5.0,4.5
2142,vertigo,Meclizine,On Label,OTC,5.0,5.0,5.0
2143,vertigo,"Diphenhydramine Hcl, Clemastine-Phenylprop, Triprolidine-Pseudoephedrine",On Label,OTC,4.0,5.0,4.0
2145,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,4.0,4.0
2146,vertigo,Meclizine,On Label,OTC,2.0,3.0,2.0
2148,vertigo,Diphenhydramine Hcl,On Label,OTC,4.5,4.5,4.5
2149,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,5.0,5.0
2150,vertigo,Diphenhydramine Hcl,On Label,OTC,3.0,4.0,4.0
2151,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,5.0,5.0
2152,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,5.0,4.0
2153,vertigo,"Diphenhydramine Hcl, Dextromethorphan-Guaifenesin, Dextromethorphan Hbr",On Label,OTC,1.0,5.0,1.0
2156,vertigo,Diphenhydramine Hcl,On Label,OTC,1.0,4.0,1.0
2157,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,4.0,5.0
2158,vertigo,Meclizine,On Label,OTC,5.0,5.0,5.0
2159,vertigo,Diphenhydramine Hcl,On Label,OTC,1.0,1.0,1.0
2160,vertigo,Dimenhydrinate,On Label,OTC,5.0,5.0,5.0
2161,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,4.0,4.0
2163,vertigo,Diphenhydramine Hcl,On Label,OTC,3.0,3.0,1.0
2166,vertigo,Diphenhydramine Hcl,On Label,OTC,5.0,4.0,1.0
2168,vertigo,Dimenhydrinate,On Label,OTC,4.0,4.0,4.0
2169,vertigo,Diphenhydramine Hcl,On Label,OTC,2.0,3.0,3.0
2170,vertigo,Diphenhydramine Hcl,On Label,OTC,1.0,3.0,1.0
2174,vertigo,Diphenhydramine Hcl,On Label,OTC,3.0,3.0,3.0
2176,vertigo,Diphenhydramine Hcl,On Label,OTC,3.0,5.0,1.0
2179,vertigo,Dimenhydrinate,On Label,OTC,3.0,5.0,2.0
2181,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,5.0,3.0
2182,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,1.0,1.0
2184,vertigo,Diphenhydramine Hcl,On Label,OTC,4.0,5.0,4.0
2185,vertigo,Diphenhydramine Hcl,On Label,OTC,3.0,5.0,4.0
2190,vulvovaginal candidiasis,Tioconazole,On Label,OTC,2.71,3.51,2.23
2191,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,2.91,3.32,2.43
2192,vulvovaginal candidiasis,Fluconazole,On Label,RX,3.32,4.41,2.97
2194,vulvovaginal candidiasis,Fluconazole,On Label,RX,3.88,4.42,3.47
2196,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,2.86,3.05,2.53
2197,vulvovaginal candidiasis,Tioconazole,On Label,OTC,1.84,3.28,1.54
2198,vulvovaginal candidiasis,Tioconazole,On Label,OTC,1.79,3.87,1.54
2199,vulvovaginal candidiasis,Terconazole,On Label,RX,2.96,3.57,2.72
2200,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,2.24,4.03,2.13
2201,vulvovaginal candidiasis,Miconazole Nitrate,On Label,RX/OTC,2.16,3.16,2.0
2202,vulvovaginal candidiasis,Terconazole,On Label,RX,2.0,3.06,1.88
2203,vulvovaginal candidiasis,Miconazole Nitrate,On Label,RX/OTC,3.38,3.77,2.69
2204,vulvovaginal candidiasis,Terconazole,On Label,RX,3.9,4.8,3.6
2205,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,3.29,3.71,2.43
2206,vulvovaginal candidiasis,Terconazole,On Label,RX,3.33,2.67,2.67
2207,vulvovaginal candidiasis,Tioconazole,On Label,OTC,1.75,4.75,2.0
2208,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,2.0,2.25,1.5
2209,vulvovaginal candidiasis,Miconazole-Skin Clnsr17,On Label,OTC,3.0,4.75,3.0
2210,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,2.33,3.67,2.33
2211,vulvovaginal candidiasis,Miconazole Nitrate,On Label,OTC,3.33,5.0,2.0
2212,vulvovaginal candidiasis,Clotrimazole,On Label,OTC,4.5,5.0,4.5
2213,vulvovaginal candidiasis,Clotrimazole,On Label,OTC,4.5,4.5,4.5
2214,vulvovaginal candidiasis,Clotrimazole,On Label,OTC,5.0,5.0,5.0
2215,vulvovaginal candidiasis,Butoconazole Nitrate,On Label,RX,5.0,5.0,5.0
2216,vulvovaginal candidiasis,Clotrimazole,On Label,OTC,5.0,4.0,5.0
2217,vulvovaginal candidiasis,Butoconazole Nitrate,On Label,OTC,5.0,5.0,5.0
2218,vulvovaginal candidiasis,Miconazole-Skin Clnsr17,On Label,OTC,1.0,4.0,1.0
